temp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,updated
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
23.00,0.050000,0.000000,0.000000,-1.000000,0.000000,0.000000,1
