temp,pressure,updated
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101325.00,1
21.50,101324.93,1
21.50,101324.84,1
21.50,101324.72,1
21.50,101324.52,1
21.50,101324.27,1
21.50,101323.98,1
21.50,101323.66,1
21.50,101323.28,1
21.50,101322.84,1
21.50,101322.37,1
21.50,101321.83,1
21.50,101321.26,1
21.50,101320.62,1
21.50,101319.95,1
21.50,101319.23,1
21.50,101318.47,1
21.50,101317.64,1
21.50,101316.78,1
21.50,101315.86,1
21.50,101314.91,1
21.50,101313.89,1
21.50,101312.84,1
21.50,101311.73,1
21.50,101310.59,1
21.50,101309.39,1
21.50,101308.15,1
21.50,101306.84,1
21.50,101305.48,1
21.50,101304.09,1
21.50,101302.66,1
21.50,101301.17,1
21.50,101299.65,1
21.50,101298.05,1
21.50,101296.41,1
21.50,101294.73,1
21.50,101293.02,1
21.50,101291.24,1
21.50,101289.40,1
21.50,101287.52,1
21.50,101285.62,1
21.50,101283.66,1
21.50,101281.62,1
21.50,101279.56,1
21.50,101277.43,1
21.50,101275.27,1
21.50,101273.09,1
21.50,101270.80,1
21.50,101268.52,1
21.50,101266.18,1
21.50,101263.77,1
21.50,101261.38,1
21.50,101259.01,1
21.50,101256.62,1
21.50,101254.28,1
21.50,101251.94,1
21.50,101249.59,1
21.50,101247.27,1
21.50,101244.98,1
21.50,101242.67,1
21.50,101240.39,1
21.50,101238.13,1
21.50,101235.85,1
21.50,101233.63,1
21.50,101231.38,1
21.50,101229.16,1
21.50,101226.95,1
21.50,101224.75,1
21.50,101222.56,1
21.50,101220.38,1
21.50,101218.23,1
21.50,101216.07,1
21.50,101213.94,1
21.50,101211.78,1
21.50,101209.69,1
21.50,101207.57,1
21.50,101205.48,1
21.50,101203.38,1
21.50,101201.32,1
21.50,101199.26,1
21.50,101197.23,1
21.50,101195.20,1
21.50,101193.17,1
21.50,101191.14,1
21.50,101189.15,1
21.50,101187.18,1
21.50,101185.19,1
21.50,101183.22,1
21.50,101181.29,1
21.50,101179.32,1
21.50,101177.42,1
21.50,101175.48,1
21.50,101173.58,1
21.50,101171.68,1
21.50,101169.81,1
21.50,101167.94,1
21.50,101166.07,1
21.50,101164.23,1
21.50,101162.39,1
21.50,101160.59,1
21.50,101158.78,1
21.50,101156.97,1
21.50,101155.16,1
21.50,101153.39,1
21.50,101151.65,1
21.50,101149.91,1
21.50,101148.16,1
21.50,101146.42,1
21.50,101144.71,1
21.50,101142.99,1
21.50,101141.32,1
21.50,101139.64,1
21.50,101137.96,1
21.50,101136.31,1
21.50,101134.66,1
21.50,101133.02,1
21.50,101131.40,1
21.50,101129.78,1
21.50,101128.20,1
21.50,101126.62,1
21.50,101125.03,1
21.50,101123.48,1
21.50,101121.92,1
21.50,101120.38,1
21.50,101118.85,1
21.50,101117.33,1
21.50,101115.84,1
21.50,101114.32,1
21.50,101112.87,1
21.50,101111.38,1
21.50,101109.91,1
21.50,101108.49,1
21.50,101107.07,1
21.50,101105.64,1
21.50,101104.22,1
21.50,101102.82,1
21.50,101101.43,1
21.50,101100.07,1
21.50,101098.70,1
21.50,101097.34,1
21.50,101096.01,1
21.50,101094.68,1
21.50,101093.35,1
21.50,101092.05,1
21.50,101090.75,1
21.50,101089.48,1
21.50,101088.22,1
21.50,101086.95,1
21.50,101085.71,1
21.50,101084.48,1
