loc_valid,lat,lng,fix,date_valid,year,month,day,time_valid,hour,minute,second,subseconds,speed_valid,speed,course_valid,course,alt_valid,altitude,sats,hdop,stats_valid,stats_invalid,updated
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,0,1,0.0000,1,90.00,1,1401.00,11,0.9,1,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,1,1,0.0000,1,90.00,1,1401.00,11,0.9,2,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,2,1,0.0000,1,90.00,1,1401.00,11,0.9,3,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,3,1,0.0000,1,90.00,1,1401.00,11,0.9,4,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,4,1,0.0000,1,90.00,1,1401.00,11,0.9,5,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,5,1,0.0000,1,90.00,1,1401.00,11,0.9,6,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,6,1,0.0000,1,90.00,1,1401.00,11,0.9,7,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,7,1,0.0000,1,90.00,1,1401.00,11,0.9,8,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,8,1,0.0000,1,90.00,1,1401.00,11,0.9,9,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,9,1,0.0000,1,90.00,1,1401.00,11,0.9,10,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,10,1,0.0000,1,90.00,1,1401.00,11,0.9,11,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,11,1,0.0000,1,90.00,1,1401.00,11,0.9,12,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,12,1,0.0000,1,90.00,1,1401.00,11,0.9,13,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,13,1,0.0000,1,90.00,1,1401.00,11,0.9,14,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,14,1,0.0000,1,90.00,1,1401.00,11,0.9,15,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,15,1,0.0000,1,90.00,1,1401.00,11,0.9,16,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,16,1,0.0000,1,90.00,1,1401.00,11,0.9,17,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,17,1,0.0000,1,90.00,1,1401.00,11,0.9,18,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,18,1,0.0000,1,90.00,1,1401.00,11,0.9,19,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,19,1,0.0000,1,90.00,1,1401.00,11,0.9,20,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,20,1,0.0000,1,90.00,1,1401.00,11,0.9,21,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,21,1,0.0000,1,90.00,1,1401.00,11,0.9,22,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,22,1,0.0000,1,90.00,1,1401.00,11,0.9,23,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,23,1,0.0000,1,90.00,1,1401.00,11,0.9,24,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,24,1,0.0000,1,90.00,1,1401.00,11,0.9,25,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,25,1,0.0000,1,90.00,1,1401.00,11,0.9,26,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,26,1,0.0000,1,90.00,1,1401.00,11,0.9,27,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,27,1,0.0000,1,90.00,1,1401.00,11,0.9,28,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,28,1,0.0000,1,90.00,1,1401.00,11,0.9,29,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,29,1,0.0000,1,90.00,1,1401.00,11,0.9,30,0,1
1,32.9905000,-106.9750000,3,1,2026,8,18,1,12,0,0,30,1,0.0000,1,90.00,1,1401.00,11,0.9,31,0,1
